# ==========================================================================
# 	xxx	len	max OP		000	001	002	003	004
# ==========================================================================
	 23	   32	 0.50070	----	----	0.8935792723272711189	0.58225715889949467425	0.5241635687732342068	----	----	48.0	34.0	18.0	
	 26	   22	 0.30143	2.0	----	----	----	----	1.0	----	----	----	----	
	 27	   12	 0.30311	----	2.0	----	----	----	----	1.0	----	----	----	
	 24	   81	 0.41220	----	----	2.5822571588994946742	0.41774284110050532572	----	----	----	61.0	31.0	----	
	 30	   32	 0.33082	----	2.0	----	----	----	----	1.0	----	----	----	
	 25	  109	 0.50227	----	----	----	0.909945184025058742	3.0900548159749412578	----	----	----	166.0	116.0	
	 29	   28	 0.30077	4.0	----	----	----	----	1.0	----	----	----	----	
	 32	   26	 0.33077	----	2.0	----	----	----	----	1.0	----	----	----	
	 31	   52	 0.36840	----	----	4.0	----	----	----	----	27.0	----	----	
	 28	   41	 0.50349	----	----	----	5.0942389163933512845	1.9057610836066487152	----	----	----	48.0	28.0	
	 34	   22	 0.30320	2.0	----	----	----	----	1.0	----	----	----	----	
	 38	   21	 0.30161	2.0	----	----	----	----	1.0	----	----	----	----	
	 35	   12	 0.30311	----	5.0	----	----	----	----	1.0	----	----	----	
	 33	   32	 0.50364	----	----	----	1.4804650223886075184	2.5195349776113924816	----	----	----	34.0	20.0	
	 40	   25	 0.32756	----	1.0	----	----	----	----	1.0	----	----	----	
	 42	   28	 0.32577	----	1.0	----	----	----	----	1.0	----	----	----	
	 39	   28	 0.30077	4.0	----	----	----	----	1.0	----	----	----	----	
	 43	   39	 0.32694	----	1.0	----	----	----	----	1.0	----	----	----	
	 45	   12	 0.30311	----	1.0	----	----	----	----	1.0	----	----	----	
	 44	   23	 0.30021	2.0	----	----	----	----	1.0	----	----	----	----	
	 36	   63	 0.38036	----	----	8.0	----	----	----	----	39.0	----	----	
	 47	   25	 0.30123	1.0	----	----	----	----	1.0	----	----	----	----	
	 46	    8	 0.30178	----	2.0	----	----	----	----	1.0	----	----	----	
	 50	   18	 0.30553	----	1.0	----	----	----	----	1.0	----	----	----	
	 49	   33	 0.30082	2.0	----	----	----	----	1.0	----	----	----	----	
	 51	   14	 0.30668	----	1.0	----	----	----	----	1.0	----	----	----	
	 37	   77	 0.50048	----	----	0.20080887536640568189	4.3903926214494473053	7.408798503184147013	----	----	120.0	94.0	52.0	
	 54	  150	 0.49016	----	----	----	----	1.0	----	----	----	----	79.0	
	 53	    8	 0.30178	----	3.0	----	----	----	----	1.0	----	----	----	
	 41	   70	 0.50067	----	----	1.5405331271934976184	5.38361625318363185	4.0758506196228705323	----	----	112.0	76.0	44.0	
	 56	   14	 0.30787	----	1.0	----	----	----	----	1.0	----	----	----	
	 58	   11	 0.30524	----	1.0	----	----	----	----	1.0	----	----	----	
	 55	   35	 0.50067	----	----	0.22956326987681972029	0.28742067935796941405	2.4830160507652108655	----	----	54.0	36.0	18.0	
	 57	   64	 0.50032	----	0.07508532423208190481	0.56455563241849447405	0.28023516237402013856	3.0801238809754034823	----	1.0	106.0	78.0	40.0	
	 48	   97	 0.42007	----	----	5.8263138391720862524	4.1736861608279137476	----	----	----	77.0	41.0	----	
	 52	   29	 0.30121	9.0	----	----	----	----	1.0	----	----	----	----	
	 61	   57	 0.50248	----	0.15824745624474917619	0.661762089750769319	0.34528120273181464638	0.83470925127266685844	----	1.0	92.0	62.0	30.0	
	 63	   28	 0.30289	2.0	----	----	----	----	1.0	----	----	----	----	
	 62	   78	 0.50187	----	0.09992234657179354278	0.5813663800540715377	0.94569940189776329257	0.37301187147637162694	----	1.0	128.0	98.0	52.0	
	 64	   44	 0.50345	----	0.2550724637681159321	0.7884057971014492775	----	0.9565217391304347905	----	1.0	68.0	----	20.0	
	 65	   23	 0.30114	3.0	----	----	----	----	1.0	----	----	----	----	
	 67	   65	 0.50013	----	0.118518518518518518854	0.5925925925925926395	----	1.2888888888888888417	----	1.0	110.0	----	58.0	
	 66	  163	 0.49399	----	0.04977375565610859495	0.3280542986425339349	0.6221719457013574701	----	----	1.0	145.0	125.0	----	
	 68	   23	 0.30358	3.0	----	----	----	----	1.0	----	----	----	----	
	 59	   52	 0.36815	----	9.334475612688983845	2.665524387311016155	----	----	----	1.0	22.0	----	----	
	 69	  148	 0.47839	----	0.05185621685327048139	0.30642309958750738153	----	0.641720683559222137	----	1.0	130.0	----	66.0	
	 72	   27	 0.32658	----	2.0	----	----	----	----	1.0	----	----	----	
	 60	   29	 0.50088	----	1.8570483054663780039	3.714096610932756008	1.0868474496690645909	5.3420076339318013975	----	1.0	44.0	30.0	16.0	
	 74	   25	 0.32390	----	1.0	----	----	----	----	1.0	----	----	----	
	 73	   74	 0.40652	----	----	3.4732824427480917	1.5267175572519083001	----	----	----	54.0	22.0	----	
	 70	  273	 0.43877	----	----	1.5267175572519083001	4.4732824427480917	----	----	----	250.0	165.0	----	
	 71	   21	 0.30402	7.0	----	----	----	----	1.0	----	----	----	----	
	 76	   18	 0.31181	----	3.0	----	----	----	----	1.0	----	----	----	
	 75	   41	 0.50164	----	----	----	----	6.0	----	----	----	----	24.0	
	 77	  131	 0.42217	----	----	2.4579439252336448725	1.5420560747663551276	----	----	----	104.0	66.0	----	
	 79	   39	 0.30043	4.0	----	----	----	----	1.0	----	----	----	----	
	 83	   22	 0.30363	1.0	----	----	----	----	1.0	----	----	----	----	
	 80	   16	 0.30769	----	4.0	----	----	----	----	1.0	----	----	----	
	 81	   62	 0.50243	----	----	----	----	1.0	----	----	----	----	50.0	
